date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:46:49	72935/72935	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/offer_approvals.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/offer_approvals.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:50	71258/71258	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/experiance-level.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/experiance-level.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:50	73343/73343	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2013:11:04%20GMT	https://smarthr.dreamguystech.com/html/template/candidates.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/candidates.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:50	70991/70991	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/schedule-timing.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/schedule-timing.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:50	59886/59886	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/apptitude-result.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/apptitude-result.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:50	71100/71100	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/knowledgebase.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/knowledgebase.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:51	87632/87632	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2018:30:58%20GMT	https://smarthr.dreamguystech.com/html/template/users.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/users.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:51	88319/88319	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/client-profile.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/client-profile.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:51	2166/2166	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/register.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/register.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:51	2099/2099	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/forgot-password.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/forgot-password.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:52	2088/2088	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/otp.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/otp.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:52	2131/2131	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/lock-screen.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/lock-screen.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:52	1555/1555	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/error-404.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/error-404.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:52	1441/1441	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/error-500.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/error-500.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:52	76492/76492	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/subscriptions.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/subscriptions.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:53	70179/70179	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/subscriptions-company.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/subscriptions-company.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
22:46:53	73840/73840	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:49:18%20GMT	https://smarthr.dreamguystech.com/html/template/subscribed-companies.html	C:/Users/herto/Downloads/tm/smarthr.dreamguystech.com/html/template/subscribed-companies.html	(from https://smarthr.dreamguystech.com/html/template/admin-dashboard.html?)
